name,bic,code,country:id
BANCO DE BOGOTA,1001,BBOGCOBBBO1,base.co
BANCO POPULAR,1002,BPOPCOBBBAQ,base.co
ITAU antes Corpbanca,1006,BCTOCOBBMD1,base.co
BANCOLOMBIA,1007,COLOCOBMMD1,base.co
CITIBANK,1009,CITICOBBXXX,base.co
BANCO GNB SUDAMERIS,1012,BSUDCOBBXXX,base.co
BBVA COLOMBIA,1013,GEROCOBB,base.co
ITAU,1014,BCTOCOBBMD1,base.co
SCOTIABANK COLPATRIA S.A,1019,COLPCOBBXXX,base.co
BANCO DE OCCIDENTE,1023,OCCICOBCBO2,base.co
BANCOLDEX S.A.,1031,,base.co
BANCO CAJA SOCIAL BCSC SA,1032,CASOCOBBXXX,base.co
BANCO AGRARIO,1040,CCAICOBBXXX,base.co
BANCO MUNDO MUJER,1047,MDMJCOBBXXX,base.co
BANCO DAVIVIENDA SA,1051,CAFECOBBXXX,base.co
BANCO AV VILLAS,1052,BAVICOBBXXX,base.co
BANCO W,1053,BANWCOBBXXX,base.co
BANCO DE LAS MICROFINANZAS - BANCAMIA S.A.,1059,BMIACOBBXXX,base.co
BANCO PICHINCHA,1060,PICHCOBBXXX,base.co
BANCOOMEVA,1061,,base.co
BANCO FALABELLA S.A.,1062,FALACOBBXXX,base.co
BANCO FINANDINA S.A.,1063,FNDNCOBBXXX,base.co
BANCO SANTANDER DE NEGOCIOS COLOMBIA S.A,1065,SANTCOBBXXX,base.co
BANCO COOPERATIVO COOPCENTRAL,1066,COCECOBBXXX,base.co
MIBANCO S.A.,1067,BCOMCOBBXXX,base.co
BANCO SERFINANZA S.A,1069,SERZCOBBXXX,base.co
LULO BANK S.A.,1070,LULOCOBBXXX,base.co
BANCO J.P. MORGAN COLOMBIA S.A.,1071,CHASCOBBLIM,base.co
ASOPAGOS S.A.S,1086,,base.co
FINANCIERA JURISCOOP S.A. COMPAÃ‘IA DE FINANCIAMIENTO,1121,FJRCCOBBXXX,base.co
COOPERATIVA FINANCIERA DE ANTIOQUIA,1283,FIACCOB1XXX,base.co
PIBANK,1560,,base.co
JFK COOPERATIVA FINANCIERA,1286,CJFKCOBBXXX,base.co
COOTRAFA COOPERATIVA FINANCIERA,1289,,base.co
COOFINEP COOPERATIVA FINANCIERA,1291,CFNPCOBBXXX,base.co
CONFIAR COOPERATIVA FINANCIERA,1292,CONFCOBBXXX,base.co
BANCO UNION S.A,1303,GYDVCOBCXXX,base.co
COLTEFINANCIERA S.A,1370,CLTECOBMXXX,base.co
NEQUI,1507,,base.co
DAVIPLATA,1551,,base.co
BAN100 S.A,1558,,base.co
IRIS,1637,IRISCOBBXXX,base.co
MOVII,1801,,base.co
DING TECNIPAGOS SA,1802,,base.co
UALA,1804,,base.co
BANCO BTG PACTUAL,1805,BPABCOBBXXX,base.co
POWWI,1803,,base.co
BOLD CF,1808,,base.co
RAPPIPAY ,1811,RAPPCOBBXXX,base.co
COINK,1812,,base.co
SANTANDER CONSUMER,1813,SCCFCOBBXXX,base.co
GLOBAL66,1814,,base.co
